Regione,Capienza regolamentare,Detenuti presenti (totale),Data
BASILICATA,413,502,2019-10-31
CALABRIA,2.734,2.784,2019-10-31
CAMPANIA,6.158,7.482,2019-10-31
EMILIA ROMAGNA,2.793,3.846,2019-10-31
FRIULI VENEZIA GIULIA,479,671,2019-10-31
LAZIO,5.247,6.584,2019-10-31
LIGURIA,1.104,1.537,2019-10-31
LOMBARDIA,6.199,8.618,2019-10-31
MARCHE,856,896,2019-10-31
MOLISE,270,415,2019-10-31
PIEMONTE,3.971,4.645,2019-10-31
PUGLIA,2.319,3.857,2019-10-31
SARDEGNA,2.714,2.321,2019-10-31
SICILIA,6.478,6.526,2019-10-31
TOSCANA,3.140,3.603,2019-10-31
TRENTINO ALTO ADIGE,506,449,2019-10-31
UMBRIA,1.324,1.455,2019-10-31
VALLE D'AOSTA,181,243,2019-10-31
VENETO,1.942,2.525,2019-10-31
ABRUZZO,1.646,2.062,2019-11-30
BASILICATA,411,478,2019-11-30
CALABRIA,2.734,2.771,2019-11-30
CAMPANIA,6.157,7.459,2019-11-30
EMILIA ROMAGNA,2.793,3.856,2019-11-30
FRIULI VENEZIA GIULIA,479,664,2019-11-30
LAZIO,5.247,6.652,2019-11-30
LIGURIA,1.104,1.551,2019-11-30
LOMBARDIA,6.199,8.659,2019-11-30
MARCHE,856,919,2019-11-30
MOLISE,270,420,2019-11-30
PIEMONTE,3.971,4.588,2019-11-30
PUGLIA,2.319,3.912,2019-11-30
SARDEGNA,2.714,2.327,2019-11-30
SICILIA,6.489,6.445,2019-11-30
TOSCANA,3.134,3.580,2019-11-30
TRENTINO ALTO ADIGE,506,442,2019-11-30
UMBRIA,1.324,1.485,2019-11-30
VALLE D'AOSTA,181,232,2019-11-30
VENETO,1.942,2.672,2019-11-30
ABRUZZO,1.646,2.064,2019-12-31
BASILICATA,411,471,2019-12-31
CALABRIA,2.734,2.898,2019-12-31
CAMPANIA,6.164,7.412,2019-12-31
EMILIA ROMAGNA,2.793,3.834,2019-12-31
FRIULI VENEZIA GIULIA,479,656,2019-12-31
LAZIO,5.247,6.566,2019-12-31
LIGURIA,1.104,1.511,2019-12-31
LOMBARDIA,6.199,8.547,2019-12-31
MARCHE,857,898,2019-12-31
MOLISE,270,462,2019-12-31
PIEMONTE,3.971,4.531,2019-12-31
PUGLIA,2.517,3.814,2019-12-31
SARDEGNA,2.710,2.288,2019-12-31
SICILIA,6.497,6.445,2019-12-31
TOSCANA,3.136,3.556,2019-12-31
TRENTINO ALTO ADIGE,506,445,2019-12-31
UMBRIA,1.324,1.471,2019-12-31
VALLE D'AOSTA,181,228,2019-12-31
VENETO,1.942,2.672,2019-12-31
ABRUZZO,1.650,2.091,2020-01-31
BASILICATA,411,459,2020-01-31
CALABRIA,2.735,2.794,2020-01-31
CAMPANIA,6.164,7.468,2020-01-31
EMILIA ROMAGNA,2.793,3.862,2020-01-31
FRIULI VENEZIA GIULIA,479,659,2020-01-31
LAZIO,5.246,6.613,2020-01-31
LIGURIA,1.104,1.522,2020-01-31
LOMBARDIA,6.199,8.583,2020-01-31
MARCHE,857,907,2020-01-31
MOLISE,270,452,2020-01-31
PIEMONTE,3.971,4.517,2020-01-31
PUGLIA,2.517,3.869,2020-01-31
SARDEGNA,2.710,2.319,2020-01-31
SICILIA,6.497,6.547,2020-01-31
TOSCANA,3.136,3.572,2020-01-31
TRENTINO ALTO ADIGE,506,433,2020-01-31
UMBRIA,1.324,1.450,2020-01-31
VALLE D'AOSTA,181,245,2020-01-31
VENETO,1.942,2.609,2020-01-31
ABRUZZO,1.650,2.014,2020-02-29
BASILICATA,411,461,2020-02-29
CALABRIA,2.735,2.779,2020-02-29
CAMPANIA,6.211,7.419,2020-02-29
EMILIA ROMAGNA,2.989,3.895,2020-02-29
FRIULI VENEZIA GIULIA,479,663,2020-02-29
LAZIO,5.244,6.667,2020-02-29
LIGURIA,1.104,1.519,2020-02-29
LOMBARDIA,6.199,8.720,2020-02-29
MARCHE,857,926,2020-02-29
MOLISE,270,475,2020-02-29
PIEMONTE,3.971,4.553,2020-02-29
PUGLIA,2.517,3.863,2020-02-29
SARDEGNA,2.710,2.310,2020-02-29
SICILIA,6.495,6.590,2020-02-29
TOSCANA,3.136,3.590,2020-02-29
TRENTINO ALTO ADIGE,506,424,2020-02-29
UMBRIA,1.324,1.485,2020-02-29
VALLE D'AOSTA,181,239,2020-02-29
VENETO,1.942,2.638,2020-02-29
ABRUZZO,1.655,1.953,2020-03-31
BASILICATA,409,374,2020-03-31
CALABRIA,2.731,2.846,2020-03-31
CAMPANIA,6.158,6.972,2020-03-31
EMILIA ROMAGNA,3.002,3.261,2020-03-31
FRIULI VENEZIA GIULIA,479,631,2020-03-31
LAZIO,5.209,6.204,2020-03-31
LIGURIA,1.117,1.495,2020-03-31
LOMBARDIA,6.203,8.095,2020-03-31
MARCHE,856,969,2020-03-31
MOLISE,266,439,2020-03-31
PIEMONTE,3.947,4.507,2020-03-31
PUGLIA,2.478,3.574,2020-03-31
SARDEGNA,2.710,2.202,2020-03-31
SICILIA,6.466,6.218,2020-03-31
TOSCANA,3.120,3.471,2020-03-31
TRENTINO ALTO ADIGE,497,410,2020-03-31
UMBRIA,1.324,1.460,2020-03-31
VALLE D'AOSTA,181,227,2020-03-31
VENETO,1.946,2.538,2020-03-31
ABRUZZO,1.655,1.850,2020-04-30
BASILICATA,402,348,2020-04-30
CALABRIA,2.706,2.667,2020-04-30
CAMPANIA,6.087,6.451,2020-04-30
EMILIA ROMAGNA,2.995,3.076,2020-04-30
FRIULI VENEZIA GIULIA,473,589,2020-04-30
LAZIO,5.192,5.738,2020-04-30
LIGURIA,1.111,1.398,2020-04-30
LOMBARDIA,6.140,7.333,2020-04-30
MARCHE,851,899,2020-04-30
MOLISE,268,410,2020-04-30
PIEMONTE,3.938,4.190,2020-04-30
PUGLIA,2.469,3.406,2020-04-30
SARDEGNA,2.679,2.125,2020-04-30
SICILIA,6.443,5.833,2020-04-30
TOSCANA,3.116,3.256,2020-04-30
TRENTINO ALTO ADIGE,497,371,2020-04-30
UMBRIA,1.322,1.398,2020-04-30
VALLE D'AOSTA,177,211,2020-04-30
VENETO,1.917,2.355,2020-04-30
ABRUZZO,1.655,1.796,2020-05-31
BASILICATA,402,360,2020-05-31
CALABRIA,2.706,2.628,2020-05-31
CAMPANIA,6.043,6.404,2020-05-31
EMILIA ROMAGNA,2.995,3.001,2020-05-31
FRIULI VENEZIA GIULIA,464,593,2020-05-31
LAZIO,5.178,5.689,2020-05-31
LIGURIA,1.111,1.385,2020-05-31
LOMBARDIA,6.137,7.283,2020-05-31
MARCHE,846,863,2020-05-31
MOLISE,268,404,2020-05-31
PIEMONTE,3.938,4.165,2020-05-31
PUGLIA,2.665,3.418,2020-05-31
SARDEGNA,2.615,2.087,2020-05-31
SICILIA,6.443,5.860,2020-05-31
TOSCANA,3.092,3.226,2020-05-31
TRENTINO ALTO ADIGE,497,361,2020-05-31
UMBRIA,1.322,1.370,2020-05-31
VALLE D'AOSTA,177,198,2020-05-31
VENETO,1.918,2.296,2020-05-31
ABRUZZO,1.655,1.762,2020-06-30
BASILICATA,407,366,2020-06-30
CALABRIA,2.709,2.631,2020-06-30
CAMPANIA,6.035,6.428,2020-06-30
EMILIA ROMAGNA,2.995,3.033,2020-06-30
FRIULI VENEZIA GIULIA,464,603,2020-06-30
LAZIO,5.183,5.762,2020-06-30
LIGURIA,1.111,1.403,2020-06-30
LOMBARDIA,6.145,7.349,2020-06-30
MARCHE,846,870,2020-06-30
MOLISE,268,393,2020-06-30
PIEMONTE,3.938,4.176,2020-06-30
PUGLIA,2.681,3.434,2020-06-30
SARDEGNA,2.611,2.044,2020-06-30
SICILIA,6.443,5.920,2020-06-30
TOSCANA,3.095,3.209,2020-06-30
TRENTINO ALTO ADIGE,497,362,2020-06-30
UMBRIA,1.322,1.391,2020-06-30
VALLE D'AOSTA,177,192,2020-06-30
VENETO,1.919,2.251,2020-06-30
ABRUZZO,1.655,1.742,2020-07-31
BASILICATA,407,382,2020-07-31
CALABRIA,2.710,2.684,2020-07-31
CAMPANIA,6.035,6.424,2020-07-31
EMILIA ROMAGNA,2.995,3.021,2020-07-31
FRIULI VENEZIA GIULIA,464,600,2020-07-31
LAZIO,5.212,5.779,2020-07-31
LIGURIA,1.118,1.408,2020-07-31
LOMBARDIA,6.156,7.418,2020-07-31
MARCHE,846,891,2020-07-31
MOLISE,268,387,2020-07-31
PIEMONTE,3.938,4.183,2020-07-31
PUGLIA,2.683,3.413,2020-07-31
SARDEGNA,2.611,2.026,2020-07-31
SICILIA,6.446,5.896,2020-07-31
TOSCANA,3.099,3.203,2020-07-31
TRENTINO ALTO ADIGE,497,377,2020-07-31
UMBRIA,1.322,1.356,2020-07-31
VALLE D'AOSTA,177,171,2020-07-31
VENETO,1.919,2.258,2020-07-31
ABRUZZO,1.655,1.753,2020-08-31
